epoch;train_loss;train_acc;val_loss;val_acc
47;0.691917359828949;tensor(0.6100, dtype=torch.float64);0.690116822719574;tensor(0.5909, dtype=torch.float64)
48;0.6832479238510132;tensor(0.7450, dtype=torch.float64);0.6899901628494263;tensor(0.6364, dtype=torch.float64)
49;0.6862411499023438;tensor(0.6950, dtype=torch.float64);0.6898502111434937;tensor(0.7273, dtype=torch.float64)
50;0.6832020282745361;tensor(0.7250, dtype=torch.float64);0.6896952986717224;tensor(0.7273, dtype=torch.float64)
51;0.6842162609100342;tensor(0.7500, dtype=torch.float64);0.6895263195037842;tensor(0.7273, dtype=torch.float64)
52;0.6846992373466492;tensor(0.7050, dtype=torch.float64);0.6893579363822937;tensor(0.6818, dtype=torch.float64)
53;0.68632972240448;tensor(0.7150, dtype=torch.float64);0.68918377161026;tensor(0.6364, dtype=torch.float64)
54;0.6805269122123718;tensor(0.7550, dtype=torch.float64);0.6889939308166504;tensor(0.6364, dtype=torch.float64)
55;0.6825446486473083;tensor(0.7400, dtype=torch.float64);0.6888109445571899;tensor(0.6364, dtype=torch.float64)
56;0.6835545301437378;tensor(0.7550, dtype=torch.float64);0.6886134743690491;tensor(0.5909, dtype=torch.float64)
57;0.686790406703949;tensor(0.6400, dtype=torch.float64);0.6883997917175293;tensor(0.5909, dtype=torch.float64)
58;0.6834014058113098;tensor(0.7050, dtype=torch.float64);0.6881780624389648;tensor(0.5909, dtype=torch.float64)
59;0.6755650043487549;tensor(0.7750, dtype=torch.float64);0.6879217028617859;tensor(0.5909, dtype=torch.float64)
60;0.6796096563339233;tensor(0.7150, dtype=torch.float64);0.687647819519043;tensor(0.7727, dtype=torch.float64)
61;0.6808381676673889;tensor(0.7400, dtype=torch.float64);0.6873681545257568;tensor(0.6818, dtype=torch.float64)
62;0.6787665486335754;tensor(0.7500, dtype=torch.float64);0.6870779991149902;tensor(0.6364, dtype=torch.float64)
63;0.6761652231216431;tensor(0.7950, dtype=torch.float64);0.6867689490318298;tensor(0.6364, dtype=torch.float64)
64;0.6766313910484314;tensor(0.7400, dtype=torch.float64);0.6864311695098877;tensor(0.7727, dtype=torch.float64)
65;0.6756148338317871;tensor(0.7550, dtype=torch.float64);0.6861211061477661;tensor(0.6364, dtype=torch.float64)
66;0.6759579181671143;tensor(0.7600, dtype=torch.float64);0.6858183145523071;tensor(0.5909, dtype=torch.float64)
67;0.6763652563095093;tensor(0.7300, dtype=torch.float64);0.685558557510376;tensor(0.5455, dtype=torch.float64)
68;0.6761542558670044;tensor(0.7200, dtype=torch.float64);0.6852218508720398;tensor(0.5000, dtype=torch.float64)
69;0.6735390424728394;tensor(0.6850, dtype=torch.float64);0.6847850680351257;tensor(0.6364, dtype=torch.float64)
70;0.6680469512939453;tensor(0.7850, dtype=torch.float64);0.6842987537384033;tensor(0.6364, dtype=torch.float64)
71;0.667965829372406;tensor(0.8050, dtype=torch.float64);0.6838375329971313;tensor(0.6818, dtype=torch.float64)
72;0.6723712682723999;tensor(0.7550, dtype=torch.float64);0.6834739446640015;tensor(0.6364, dtype=torch.float64)
73;0.6694299578666687;tensor(0.7700, dtype=torch.float64);0.6830710768699646;tensor(0.6364, dtype=torch.float64)
74;0.6659708619117737;tensor(0.8050, dtype=torch.float64);0.6826500296592712;tensor(0.7273, dtype=torch.float64)
75;0.6656171679496765;tensor(0.8000, dtype=torch.float64);0.6823759078979492;tensor(0.6364, dtype=torch.float64)
76;0.6695167422294617;tensor(0.7500, dtype=torch.float64);0.6821339726448059;tensor(0.6364, dtype=torch.float64)
77;0.6652597784996033;tensor(0.6900, dtype=torch.float64);0.6819013357162476;tensor(0.5000, dtype=torch.float64)
78;0.6633935570716858;tensor(0.7450, dtype=torch.float64);0.6812638640403748;tensor(0.5455, dtype=torch.float64)
79;0.6662560105323792;tensor(0.7200, dtype=torch.float64);0.6805155277252197;tensor(0.6364, dtype=torch.float64)
80;0.6658223867416382;tensor(0.7550, dtype=torch.float64);0.6799167394638062;tensor(0.7273, dtype=torch.float64)
81;0.6653810143470764;tensor(0.7900, dtype=torch.float64);0.679405927658081;tensor(0.7273, dtype=torch.float64)
82;0.6560511589050293;tensor(0.7700, dtype=torch.float64);0.6788905262947083;tensor(0.6818, dtype=torch.float64)
83;0.6643398404121399;tensor(0.7700, dtype=torch.float64);0.6783512830734253;tensor(0.6818, dtype=torch.float64)
84;0.6569981575012207;tensor(0.7950, dtype=torch.float64);0.6778218746185303;tensor(0.7273, dtype=torch.float64)
85;0.6625154614448547;tensor(0.7850, dtype=torch.float64);0.6774899959564209;tensor(0.5909, dtype=torch.float64)
86;0.6514143347740173;tensor(0.7900, dtype=torch.float64);0.6774870157241821;tensor(0.5000, dtype=torch.float64)
87;0.6500266194343567;tensor(0.7350, dtype=torch.float64);0.6770171523094177;tensor(0.5000, dtype=torch.float64)
88;0.6464096903800964;tensor(0.7600, dtype=torch.float64);0.6760666370391846;tensor(0.6364, dtype=torch.float64)
89;0.6542788743972778;tensor(0.7300, dtype=torch.float64);0.6750473380088806;tensor(0.6364, dtype=torch.float64)
